designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 598694977656708224,598694977656708224,132.82324495427613,0.6874297,11.32104457462136,0.37020257,1.3918408317044155,0.81749636,-8.995875091225589,0.86556464,-2.1225433182422977,0.58490795,1.0009875,125.62028449489189,0.71372825,20.439718,46.96357617087077,6.8278437,21.15914,126.0113367576766,8.0125065,19.496872,1.6622677,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695007721506432,598695007721506432,132.79455651589632,0.07625543,11.317110909195504,0.042192053,1.1369567096257727,0.09508543,-11.086530710700039,0.097653955,-2.906036538699799,0.07026389,0.9332137,2358.912184970025,1.8284199,17.255587,797.0903562396227,10.946175,18.084774,2276.1699648311373,12.196523,16.354883,1.7298908,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4325.351,4.5296,0.0244,958.1476,0.6383,0.4662,0.2492
Gaia DR3 598695042081246848,598695042081246848,132.7991974061322,0.20300813,11.335714491248032,0.111168355,0.40801486714289686,0.25050798,-1.006746285037853,0.25116897,-6.821384267554054,0.18756996,1.0258673,514.612859922213,0.9607854,18.908665,265.5721015952528,8.81408,19.278086,321.22326561204176,9.268911,18.480879,0.7972069,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5677.4053,4.741,-1.6629,3997.259,0.0024,0.002,0.0011
Gaia DR3 598695523122046464,598695523122046464,132.9053575179185,0.4101349,11.322769019588545,0.208767,1.4014356886922734,0.48238516,-2.3328953692961436,0.5147245,-0.3974161621858171,0.36622095,0.97317,234.35905378723717,0.75109565,19.762663,60.2654522553333,5.4503217,20.88837,256.3405988712746,11.366674,18.725853,2.1625175,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695591837239680,598695591837239680,132.89330324432612,0.39076528,11.333561298935457,0.19419521,1.1617089145300823,0.45042613,-0.10150579205640897,0.48829198,-0.010290863898554967,0.34867364,1.0679108,258.0685212127336,0.8136413,19.65803,98.76762862682189,6.6151514,20.352005,258.26136203682046,9.570315,18.717747,1.6342583,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695596133329664,598695596133329664,132.8884242782535,4.425104,11.325769360971604,2.4824612,,,,,,,,56.02707001469302,0.79755044,21.316372,126.1718454211855,12.015837,20.086136,318.2053486572952,13.744426,18.491127,1.5950089,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695694916018816,598695694916018816,132.913386328557,0.016023573,11.31984853572705,0.008716279,0.80281595895363,0.0190093,-4.37499451336499,0.020037549,6.549933896044007,0.015637856,0.92032135,54483.04204498932,11.54885,13.846713,31630.701486400932,29.413406,14.08827,32977.92299875322,16.730236,13.452337,0.6359329,28.28361,3.7765877,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6521.0024,4.2039,-0.7365,1121.472,0.1596,0.1392,0.0755
Gaia DR3 598695699211075072,598695699211075072,132.92176291704357,9.950662,11.319887709857996,4.8028374,,,,,,,,65.69562713932726,1.7054673,21.143526,54.32682151076943,11.238653,21.001007,86.59519229820881,12.740996,19.904161,1.0968456,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695699211194368,598695699211194368,132.91823922268063,0.05477865,11.319405266559784,0.030313198,0.5037159107865922,0.06541831,1.838837191100152,0.06965743,-1.1618511105124971,0.054881807,0.9251845,4112.731505582352,2.1224897,16.65204,2267.0655130434548,12.512981,16.949883,2668.95457839405,9.392833,16.182043,0.76783943,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5776.0063,4.676,-0.836,1652.6918,0.0024,0.002,0.0011
Gaia DR3 598695699211194880,598695699211194880,132.91593385025095,0.022051193,11.319515509915655,0.012006396,0.40413380974158924,0.026018059,-3.385489659000414,0.027504569,-3.4448961679939916,0.021941869,0.9889954,24806.70221513905,4.9305606,14.700944,11841.44376876881,20.330019,15.15503,18473.450315243455,11.801535,14.081526,1.0735044,95.6637,5.46728,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5304.4355,3.6843,-0.1406,1952.3369,0.3333,0.2702,0.1444
